id,name,full_name,updated_at,created_at,pushed_at,size,stargazers_count,forks_count,open_issues_count,default_branch,head
461280850,shuttle,shuttle-hq/shuttle,2022-10-22T08:22:17Z,2022-02-19T18:37:55Z,2022-10-23T02:49:54Z,15444,1181,62,37,main,b00671dc32b341ad6dafba0e7ac1fb1b803a68f5
29821195,rust-bio,rust-bio/rust-bio,2022-10-18T18:44:58Z,2015-01-25T16:40:31Z,2022-10-04T13:06:53Z,2620,1175,167,89,master,f73cab7c0c6972b08da7d7779e087a7b15b323b3
132163916,sudo_pair,square/sudo_pair,2022-10-16T05:02:03Z,2018-05-04T16:27:51Z,2022-10-17T20:22:58Z,1557,1171,49,16,master,3961adffa7bf5eb4bc8ba475b161d021361c82ce
164738063,nickel,tweag/nickel,2022-10-22T20:00:03Z,2019-01-08T21:43:11Z,2022-10-23T00:16:49Z,22030,1171,49,58,master,0f21699e306750bca35e886412917b80223d68d7
443354901,orange,naaive/orange,2022-10-22T02:06:22Z,2021-12-31T13:46:07Z,2022-09-03T13:05:57Z,45971,1168,93,22,release,713e452069929518f75fd6859204ba8d21d03292
236150741,rust-bert,guillaume-be/rust-bert,2022-10-23T19:19:41Z,2020-01-25T09:40:07Z,2022-10-22T15:48:03Z,2881,1167,100,18,master,78da0f4814da00139551b615d6d06e7e92f59a79
168782501,kanidm,kanidm/kanidm,2022-10-23T06:36:09Z,2019-02-02T01:41:26Z,2022-10-23T20:18:53Z,66037,1167,55,114,master,b0bf00e6eb6a61a9b4f58a09fa5ba2b6ed00ede2
167734795,inferno,jonhoo/inferno,2022-10-22T16:42:36Z,2019-01-26T20:19:46Z,2022-10-23T13:07:36Z,2624,1166,87,39,main,9676e33fd82818450676e16a62c5a1353aa0631c
454949024,zaplib,Zaplib/zaplib,2022-10-17T16:54:53Z,2022-02-02T21:58:05Z,2022-08-07T01:55:08Z,20258,1163,31,79,main,ef9335c9892daf0783468f238d83aef0ea6b14a2
196969828,pyflow,David-OConnor/pyflow,2022-10-22T00:05:31Z,2019-07-15T09:40:29Z,2022-04-18T07:11:37Z,8127,1162,43,58,master,4c6ec9bc8dcf2c486d5820627d70162e44d6b5a7
85327864,tungstenite-rs,snapview/tungstenite-rs,2022-10-23T17:33:49Z,2017-03-17T15:38:17Z,2022-10-18T23:31:20Z,633,1161,147,22,master,b473e19f7eef012611feadf81df7ec49c52c4a1a
29108449,cfonts,dominikwilkowski/cfonts,2022-10-23T17:47:22Z,2015-01-11T22:27:44Z,2022-07-08T03:54:18Z,6921,1160,51,0,released,27f8c680f0be0563000619008efc3b3b069a1415
500391407,CYFS,buckyos/CYFS,2022-10-19T22:50:18Z,2022-06-06T10:40:50Z,2022-10-21T15:15:35Z,8801,1152,162,33,main,f904ba6a8900fcbeffa8a55c4ade60b14152d467
223287266,zee,zee-editor/zee,2022-10-19T06:08:20Z,2019-11-21T23:58:51Z,2022-08-15T22:35:26Z,1099,1152,24,38,master,08c9f31dda9b3fb48645ec32e9a7f0ed42f07456
25877885,cobalt.rs,cobalt-org/cobalt.rs,2022-10-22T21:31:28Z,2014-10-28T16:04:40Z,2022-10-03T17:03:43Z,2826,1151,92,70,master,e65322ea38d9284963df66f2394767fa66453464
348541121,uwu,Daniel-Liu-c0deb0t/uwu,2022-10-23T10:11:43Z,2021-03-17T01:18:00Z,2022-08-22T18:38:52Z,151,1149,27,18,uwu,17475b16636a8dd9bd25b1f2efc20c7f6caf63cc
12204606,rust-peg,kevinmehall/rust-peg,2022-10-22T21:27:21Z,2013-08-19T01:18:13Z,2022-10-18T04:31:30Z,1117,1148,98,24,master,8a40aa35f32fa573f2dc99756b9f687dee38767e
523652966,rustle,pintariching/rustle,2022-10-23T13:48:30Z,2022-08-11T08:58:47Z,2022-10-23T09:17:49Z,355,1148,27,2,main,079317420f0b1f51c1df94968d4e4978ac95b28f
392161911,miette,zkat/miette,2022-10-23T11:44:53Z,2021-08-03T02:30:49Z,2022-10-13T16:20:30Z,1691,1147,56,37,main,5815eab3107f3e2f2a1e75c5a299648ebc3e8bf6
365701873,ic,dfinity/ic,2022-10-23T00:02:55Z,2021-05-09T08:16:37Z,2022-10-23T18:31:46Z,115655,1147,189,15,master,d4729f7303caa02b4bde2e930cf78260a0e23c2a
269425900,kalker,PaddiM8/kalker,2022-10-18T13:05:26Z,2020-06-04T17:43:54Z,2022-09-30T10:02:14Z,2200,1139,47,24,master,e50d398195bf2d575c4066050faf1553ffeb3937
241277775,ultimate_rust_crash_course,CleanCut/ultimate_rust_crash_course,2022-10-22T23:56:40Z,2020-02-18T05:09:35Z,2022-10-20T02:54:45Z,6252,1137,488,1,main,77927b2edce38e8c39575c96838f3ac95fe2f825
22628837,r2d2,sfackler/r2d2,2022-10-23T19:33:19Z,2014-08-05T03:25:09Z,2022-08-22T11:29:58Z,314,1137,66,18,master,a6695d410cf48694c3be05fa6b3bf0e96f589023
297701481,embassy,embassy-rs/embassy,2022-10-22T10:13:05Z,2020-09-22T16:04:20Z,2022-10-22T19:49:49Z,6479,1135,150,81,master,ce1cba761c2942b7faa27f4098487c6468784729
358917250,arrow-rs,apache/arrow-rs,2022-10-22T16:37:01Z,2021-04-17T15:40:05Z,2022-10-23T07:08:05Z,17550,1131,297,358,master,22e742bc76b5db333ab2384a92c362662cca3879
309803886,Rudra,sslab-gatech/Rudra,2022-10-23T11:55:44Z,2020-11-03T20:50:23Z,2022-03-13T07:49:42Z,1484,1129,32,7,master,65391e31ba7c84e7ae3b3abae28d323155a3f555
53757700,colored,mackwic/colored,2022-10-20T13:00:36Z,2016-03-12T23:06:49Z,2022-09-30T05:35:56Z,121,1125,61,25,master,11ffd20e7b5d1b48e4de7bb78ced26131ae5e114
81192894,rustsec,rustsec/rustsec,2022-10-22T17:57:32Z,2017-02-07T09:53:17Z,2022-10-23T03:43:22Z,2969,1124,86,85,main,144e760991d0f91dbf8e8a52f96438d5b40959e4
126307189,tao-of-rust-codes,ZhangHanDong/tao-of-rust-codes,2022-10-22T15:05:25Z,2018-03-22T08:57:14Z,2021-04-07T04:28:22Z,107462,1121,149,70,master,3688a893b480a94924d7c15a86ea6dfeb1d08a5d
135293548,cargo-generate,cargo-generate/cargo-generate,2022-10-23T08:51:43Z,2018-05-29T12:35:37Z,2022-10-17T20:06:25Z,2789,1119,112,32,main,a1c5b47021e2dc35306df00fd6782d5569bcd205
188058611,prusti-dev,viperproject/prusti-dev,2022-10-23T17:43:44Z,2019-05-22T14:46:23Z,2022-10-23T16:26:19Z,1047685,1119,75,161,master,46488be654aa770797378929a9d1fd265b49aa29
440810736,tuic,EAimTY/tuic,2022-10-23T19:53:11Z,2021-12-22T09:54:41Z,2022-09-26T14:55:31Z,447,1117,97,20,dev,0303155b28a24cd0fa2e9efa8832dd914fe74a5a
95492579,railcar,oracle/railcar,2022-10-23T09:08:46Z,2017-06-26T21:51:40Z,2019-10-15T03:08:17Z,206,1112,109,18,master,ef5918e21e7ad9ffd25c1a507df96458ec4e0c24
344407228,Kooha,SeaDve/Kooha,2022-10-22T16:22:13Z,2021-03-04T08:45:11Z,2022-10-22T13:07:29Z,4331,1112,44,35,main,bec816134e8b3631c304462f93abbe79cdc3c93f
31998071,librespot,plietar/librespot,2022-10-17T00:08:32Z,2015-03-11T04:21:05Z,2019-08-23T23:29:46Z,1072,1109,190,83,master,8971d3aa6864469a79c2640bb2afaf41c3d3728d
184148355,mongo-rust-driver,mongodb/mongo-rust-driver,2022-10-22T22:44:46Z,2019-04-29T21:43:30Z,2022-10-21T14:21:07Z,5367,1107,110,12,main,5ad1c6127138ecd26b95256ac98ac937fab7f220
94702898,proptest,proptest-rs/proptest,2022-10-22T19:39:24Z,2017-06-18T17:38:03Z,2022-09-01T15:25:58Z,1446,1104,112,95,master,bc2d867a7cd06060e0b565b72fce1d94cc2fe943
74106774,hashes,RustCrypto/hashes,2022-10-23T01:36:26Z,2016-11-18T07:40:17Z,2022-10-18T21:39:39Z,3732,1103,169,21,master,7a187e934c1f6c68e4b4e5cf37541b7a0d64d303
68294628,indexmap,bluss/indexmap,2022-10-23T11:46:54Z,2016-09-15T13:06:08Z,2022-08-31T18:41:53Z,730,1103,112,27,master,aa4ee74bec3f64f452aa107fecd2c1bd04abe66b
77491041,rust-web3,tomusdrw/rust-web3,2022-10-23T05:35:16Z,2016-12-28T00:40:20Z,2022-09-20T18:20:06Z,2207,1101,371,101,master,c593b722d57da0c2885123867a7d4662a288d6cc
29131678,combine,Marwes/combine,2022-10-20T16:00:59Z,2015-01-12T11:04:51Z,2022-09-17T12:41:55Z,2260,1101,88,37,master,3f59f9d9173ffc8d017a7eed7dc52c128ba5159c
